line,family,product_id,payment_link_url,sheet_product_name,stripe_product_name,sheet_payment_link_name,stripe_payment_link_name,sheet_price,stripe_price,sheet_duration,stripe_duration,changed_columns,issues
22,cmdb-api,prod_UPZ0CQjeZ6vsDu,https://checkout.audittoolkitlabs.com/b/fZu4gz0nk4D873YbLXfQI02,Audit CMDB API Toolkit – Beta Access,Audit CMDB API Toolkit â€“ Beta Access,Audit CMDB API Toolkit – Beta Access,,,0,30 days,One-time,"Duration, Price",duration mismatch: sheet='30 days ' stripe has no recurring/trial duration
24,cmdb-api,prod_UPZ00VtLr33Xt4,https://checkout.audittoolkitlabs.com/b/aFafZhda61qW4VQaHTfQI07,Audit CMDB API Toolkit – Enterprise,Audit CMDB API Toolkit â€“ Enterprise,Audit CMDB API Toolkit – Enterprise,,1500,1500,Yearly,Monthly,Duration,duration mismatch: sheet='Yearly' stripe=1 month
