"Count","Sha256","Paths"
"2","3166052291b64c96b8b0f2e064039bc17253a4587aa6b53d1e8800cb4004d846","audittoolkit-linux-security-lite/customer-docs/28-liability-disclaimer-and-indemnity.md | Switch-Exposure-Center/docs/customer-docs/switch-exposure-center/28-liability-disclaimer-and-indemnity.md"
"2","3f9447fc508cea189f18fd459780a244ebd163b40fa6510c5be4281094f6de8f","Audit-Tool-/docs/06-library-api-reference.md | audittoolkit-linux-security-lite/docs/06-library-api-reference.md"
"2","4efbe7c3fc5b1d1bd05c363caa43c8c8ed7a82621a589999a8a0015cbdbca9c9","Audit-Tool-/docs/05-ci-cd.md | audittoolkit-linux-security-lite/docs/05-ci-cd.md"
"2","7e332f1cb1d26147deda9eb94e5dadf3d160870f7724abc0192b9b171df36842","cmdb-api-data-collection-tool/customer-docs/screenshots/storage_state.json | cmdb-api-data-collection-tool/docs/assets/screenshots/v0.2.5/storage_state.json"
"2","b8b7b4bd98684f8d7294e9e021d36a7ba26b97c3d39bd50af8a239401649328a","Audit-Tool-/docs/licensing-examples/LICENSE-AGPL-EXAMPLE.txt | audittoolkit-linux-security-lite/docs/licensing-examples/LICENSE-AGPL-EXAMPLE.txt"
"2","bc52ccb410780d49a4bb8498d8acb7360df06e726b2d9652676cd9cb0c5b62fa","cmdb-api-data-collection-tool/customer-docs/screenshots/manifest.csv | cmdb-api-data-collection-tool/docs/assets/screenshots/v0.2.5/manifest.csv"
"2","da8c36b79d79df27b5ab8d44d13e7653bd79255c2b1f966826bfd09049dd7665","Audit-Tool-/docs/11-orchestrator-examples.md | audittoolkit-linux-security-lite/docs/11-orchestrator-examples.md"
"2","def469b97ed542b06f1be156a753c62b08dbf08fad4a1d2a509c5291290edd84","audittoolkit-linux-security-lite/customer-docs/OWASP-SECURITY-SCORECARD.md | audittoolkit-linux-security-lite/docs/OWASP-SECURITY-SCORECARD.md"
"2","e1aff37027d88d391ee97e3ac47cf1a5a6c9d4231f1f40c1524140f83a1d2e9a","Audit-Tool-/docs/licensing-examples/LICENSE-BSL-EXAMPLE.txt | audittoolkit-linux-security-lite/docs/licensing-examples/LICENSE-BSL-EXAMPLE.txt"
